sample_number,site_id,date,sample_type,method,ng_m_l,lake,site_type,depth_category,ng_g_resin,congener,value
130,BKS_BL_SH_05,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,wr,0
130,BKS_BL_SH_05,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,atx,0
130,BKS_BL_SH_05,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,hatx,0
130,BKS_BL_SH_05,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,cyl,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,rr,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,yr,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lr,0.316108635
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,la,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,dm_lr,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,ly,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,nod,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lf,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,wr,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,atx,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,hatx,0
131,BKS_BL_SH_06,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,cyl,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,rr,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,yr,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lr,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,la,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,dm_lr,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,ly,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,nod,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,lf,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,wr,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,atx,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,hatx,0
132,BKS_BL_SH_07,2025-07-08,regular,grab,NA,brooks,shore,NA,NA,cyl,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,rr,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,yr,0
135,BKS_BL_BU_SS,2025-07-08,regular,grab,NA,brooks,buoy,surface,NA,lr,0
