sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
103,BKS_RN_SH_10,2025-07-22,spatt,regular,shipped,rainbow,shore,NA,FALSE,TRUE,analyzed
104,BKS_RN_BU_SS,2025-07-22,spatt,regular,shipped,rainbow,buoy,surface,FALSE,TRUE,analyzed
105,BKS_BL_BU_SS,2025-07-08,spatt,regular,shipped,brooks,buoy,surface,FALSE,TRUE,analyzed
106,BKS_BL_BU_DD,2025-07-08,spatt,regular,shipped,brooks,buoy,bottom,FALSE,TRUE,analyzed
107,BKS_UB_SH_08,2025-07-09,spatt,regular,shipped,upper brooks,shore,NA,FALSE,TRUE,analyzed
109,BKS_UB_BU_SS,2025-07-09,spatt,regular,shipped,upper brooks,buoy,surface,FALSE,TRUE,analyzed
110,BKS_UB_BU_DD,2025-07-09,spatt,regular,shipped,upper brooks,buoy,bottom,FALSE,TRUE,analyzed
111,BKS_RN_SH_10,2025-07-09,spatt,regular,shipped,rainbow,shore,NA,FALSE,TRUE,analyzed
112,BKS_RN_BU_SS,2025-07-09,spatt,regular,shipped,rainbow,buoy,surface,FALSE,TRUE,analyzed
113,BKS_RN_BU_DD,2025-07-09,spatt,regular,shipped,rainbow,buoy,bottom,FALSE,TRUE,analyzed
114,BKS_LJ_BU_SS,2025-07-09,spatt,regular,shipped,lower jade,buoy,surface,FALSE,TRUE,analyzed
115,BKS_LJ_BU_DD,2025-07-09,spatt,regular,shipped,lower jade,buoy,bottom,FALSE,TRUE,analyzed
116,BKS_UB_BU_SS,2025-07-09,spatt,duplicate,collected,upper brooks,buoy,surface,FALSE,FALSE,collected
117,BKS_RN_SH_10,2025-07-09,spatt,duplicate,shipped,rainbow,shore,NA,FALSE,TRUE,analyzed
118,BYS_BR_SH_01,2025-07-10,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
119,BYS_PC_SH_02,2025-07-10,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
120,BYS_FR_SH_03,2025-07-10,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
121,BYS_CR_SH_04,2025-07-10,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
122,BKS_RN_BU_DD,2025-07-22,spatt,regular,shipped,rainbow,buoy,bottom,FALSE,TRUE,analyzed
123,BKS_LJ_BU_SS,2025-07-22,spatt,regular,shipped,lower jade,buoy,surface,FALSE,TRUE,analyzed
124,BKS_LJ_BU_DD,2025-07-22,spatt,regular,shipped,lower jade,buoy,bottom,FALSE,TRUE,analyzed
125,SPATT_BLANK,2025-07-09,spatt,blank,shipped,blank,NA,NA,FALSE,TRUE,analyzed
126,BKS_BL_SH_01,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
127,BKS_BL_SH_02,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
128,BKS_BL_SH_03,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
129,BKS_BL_SH_04,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
130,BKS_BL_SH_05,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
131,BKS_BL_SH_06,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
132,BKS_BL_SH_07,2025-07-08,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
133,BKS_BL_BON,2025-07-08,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
134,BKS_BL_CREEK,2025-07-08,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
135,BKS_BL_BU_SS,2025-07-08,grab,regular,shipped,brooks,buoy,surface,TRUE,FALSE,analyzed
136,BKS_BL_BU_DD,2025-07-08,grab,regular,shipped,brooks,buoy,bottom,TRUE,FALSE,analyzed
