sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
290,BKS_BL_CREEK,2025-08-20,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
291,BKS_BL_BU_SS,2025-08-20,grab,regular,shipped,brooks,buoy,surface,TRUE,FALSE,analyzed
292,BKS_BL_BU_DD,2025-08-20,grab,regular,shipped,brooks,buoy,bottom,TRUE,FALSE,analyzed
293,BKS_UB_SH_08,2025-08-19,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
294,BKS_UB_SH_09,2025-08-19,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
295,BKS_UB_BU_SS,2025-08-19,grab,regular,shipped,upper brooks,buoy,surface,TRUE,FALSE,analyzed
296,BKS_UB_BU_DD,2025-08-19,grab,regular,shipped,upper brooks,buoy,bottom,TRUE,FALSE,analyzed
297,BKS_RN_SH_10,2025-08-19,grab,regular,shipped,rainbow,shore,NA,TRUE,FALSE,analyzed
298,BKS_RN_BU_SS,2025-08-19,grab,regular,shipped,rainbow,buoy,surface,TRUE,FALSE,analyzed
299,BKS_RN_BU_DD,2025-08-19,grab,regular,shipped,rainbow,buoy,bottom,TRUE,FALSE,analyzed
